id,complex
EG10607-MONOMER,
EG10608-MONOMER,
EG10609-MONOMER,
EG10610-MONOMER,
EG10613-MONOMER,CPLX0-7704
EG10657-MONOMER,
EG10686-MONOMER,CPLX0-2423
EG10686-MONOMER,CPLX0-2424
EG10776-MONOMER,
EG10778-MONOMER,
EG10779-MONOMER,
EG10859-MONOMER,CPLX0-2381
EG10859-MONOMER,CPLX0-3461
EG10956-MONOMER,
EG10968-MONOMER,CPLX0-2941
EG10997-MONOMER,CPLX0-7608
EG10997-MONOMER,CPLX0-7609
EG11007-MONOMER,CPLX0-2201
EG11010-MONOMER,CPLX0-2201
EG11011-MONOMER,CPLX0-2201
EG11012-MONOMER,CPLX0-1923
EG11012-MONOMER,CPLX0-1924
EG11012-MONOMER,CPLX0-1941
EG11012-MONOMER,CPLX0-1942
EG11012-MONOMER,CPLX0-1943
EG11012-MONOMER,CPLX0-7952
EG11012-MONOMER,CPLX0-8541
EG11012-MONOMER,CPLX0-8553
EG11056-MONOMER,CPLX0-3925
EG11086-MONOMER,CPLX0-7934
EG11096-MONOMER,SEC-SECRETION-CPLX
EG11096-MONOMER,SECD-SECF-YAJC-YIDC-CPLX
EG11113-MONOMER,
EG11122-MONOMER,
EG11123-MONOMER,
EG11145-MONOMER,
EG11160-MONOMER,CPLX0-7626
EG11167-MONOMER,
EG11180-MONOMER,CPLX0-7627
EG11186-MONOMER,
EG11209-MONOMER,
EG11215-MONOMER,
EG11267-MONOMER,
EG11290-MONOMER,
EG11305-MONOMER,TATABCE-CPLX
EG11342-MONOMER,
EG11345-MONOMER,
EG11350-MONOMER,
EG11353-MONOMER,
EG11354-MONOMER,CPLX0-2121
EG11359-MONOMER,CPLX0-3382
EG11361-MONOMER,
EG11371-MONOMER,
EG11395-MONOMER,
EG11400-MONOMER,
EG11422-MONOMER,
EG11424-MONOMER,
EG11425-MONOMER,
EG11426-MONOMER,
EG11464-MONOMER,
EG11465-MONOMER,
EG11466-MONOMER,
EG11471-MONOMER,
EG11479-MONOMER,TATABCE-CPLX
EG11486-MONOMER,CPLX0-3976
EG11494-MONOMER,
EG11495-MONOMER,
EG11499-MONOMER,
EG11512-MONOMER,
EG11522-MONOMER,
EG11529-MONOMER,
EG11536-MONOMER,
EG11570-MONOMER,
EG11571-MONOMER,
EG11613-MONOMER,
EG11637-MONOMER,
EG11639-MONOMER,
EG11652-MONOMER,CPLX0-8183
EG11660-MONOMER,
EG11665-MONOMER,
EG11671-MONOMER,
EG11674-MONOMER,
EG11683-MONOMER,
EG11688-MONOMER,
EG11691-MONOMER,
EG11695-MONOMER,
EG11696-MONOMER,
EG11697-MONOMER,
EG11724-MONOMER,
EG11726-MONOMER,
EG11739-MONOMER,
EG11764-MONOMER,
EG11765-MONOMER,
EG11793-MONOMER,
EG11798-MONOMER,
EG11800-MONOMER,FORMHYDROG2-CPLX
EG11806-MONOMER,
EG11824-MONOMER,
EG11826-MONOMER,
EG11833-MONOMER,
EG11851-MONOMER,
EG11875-MONOMER,
