id,complex
YICM-MONOMER,
YIDC,SEC-SECRETION-CPLX
YIDK-MONOMER,
YIDT-MONOMER,
YIDY-MONOMER,
YIEO-MONOMER,
YIHN-MONOMER,
YIHO-MONOMER,
YIHP-MONOMER,
YIIP-MONOMER,CPLX0-7641
YJCE-MONOMER,
YJCG-MONOMER,CPLX0-7955
YJCH-MONOMER,
YJCQ-MONOMER,CPLX0-7807
YJCV-MONOMER,ABC-42-CPLX
YJCW-MONOMER,ABC-42-CPLX
YJDE-MONOMER,CPLX0-7535
YJDL-MONOMER,
YJEM-MONOMER,
YJFF-MONOMER,ABC-46-CPLX
YJGT-MONOMER,
YJHB-MONOMER,
YJHF-MONOMER,
YJIO-MONOMER,
YJIZ-MONOMER,
YLIA-MONOMER,ABC-49-CPLX
YLIC-MONOMER,ABC-49-CPLX
YLID-MONOMER,ABC-49-CPLX
YPHD-MONOMER,ABC-60-CPLX
YRBE-MONOMER,ABC-45-CPLX
YRBG-MONOMER,
YTFT-MONOMER,ABC-46-CPLX
ZNUB-MONOMER,ABC-63-CPLX
